question,A,B,C,D,answer
"When the first tiny prokaryotic cell took up residence inside a larger prokaryotic cell, it heralded the advent of the eukaryotic cell and led to an explosion of new life on Earth. Since then, most cells on Earth have internal organelles. Which of the following best summarizes an advantage of having internal membranes and organelles?","DNA can reproduce more efficiently.","Even though prokaryotes do not have mitochondria, they contain structures that carry out the same function.","Organelles separate specific reactions in the cell and increase metabolic efficiency.","Compartmentalization enables prokaryotes to reproduce more quickly.",2
"Which of the following is correct about vaccination?","It increases the number of different receptors that recognize a particular pathogen.","It increases the number of different macrophages specific to the antigen.","It increases the number of epitopes that the immune system can recognize.","It increases the number of lymphocytes with receptors that can recognize and bind to the antigen.",3
"The calypso orchid, Calypso bulbosa, grows in close association with mycorrhizae fungi. The fungi penetrate the roots of the flower and take advantage of the plant's food resources. The fungi concentrate rare minerals, such as phosphates, in the roots and make them readily accessible to the orchid. This situation is an example of","parasitism","commensalism","mutualism","endosymbiosis",2
"Mules are relatively long-lived and hardy organisms that cannot, generally speaking, perform successful meiosis. Consequently, which statement about mules is true?","They have a relative evolutionary fitness of zero.","Their offspring have less genetic variation than the parents.","Mutations cannot occur in their genomes.","If crossing-over happens in mules, then it must be limited to prophase of mitosis.",0
"ADH is a hormone secreted by the kidneys that reduces the amount of water excreted in the urine. ADH is released in times of dehydration. This is an example of","innate behavior.","maintaining homeostasis.","failure to respond to the environment.","positive feedback.",1
"All of the following statements are true EXCEPT","thyroxine increases the rate of metabolism","insulin decreases storage of glycogen","vasopressin stimulates water reabsorption in the kidney","epinephrine increases blood sugar levels and heart rate",1
"Which of the following statements best describes what a Barr body is and its significance?","It is an inactivated Y chromosome and results in a man being sterile.","It is an inactivated Y chromosome, and the person who has it appears female.","It is an inactivated X chromosome and results in females with half their cells having one X inactivated and the other half of their cells having the other X inactivated.","It is an inactivated X chromosome and results in females who are sterile.",2
"A heterotroph","obtains its energy from sunlight, harnessed by pigments","obtains its energy by oxidizing organic molecules","makes organic molecules from CO2","obtains its energy by consuming exclusively autotrophs",1
"Which of the following reactions occurs in the forward direction during glycolysis but in the reverse direction during fermentation?","pyruvate → lactate","pyruvate → ethanol","NAD+ + H+ + 2e- → NADH","ADP + P → ATP",2
"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. What originally caused the change in the variant?","Karyotyping","Balance polymorphism","Mutation","Polyploidy",2
"Which of the following statements most accurately explains what EcoR1 is?","It is a bacterium that lives in the human large intestine.","It is the best-studied bacteriophage, a virus that attacks E. coli.","It is a restriction enzyme extracted from E. coli.","It is a type of DNA used extensively in research.",2
"Which of the following pairs of structures is least likely to represent homology?","The wings of a bat and the arms of a human","The hemoglobin of a baboon and that of a gorilla","The mitochondria of a plant and those of an animal","The wings of a bird and those of an insect",3
"The development of an egg without fertilization is known as","meiosis","parthenogenesis","embryogenesis","vegetative propagation",1
"In minks, the gene for brown fur (B) is dominant over the gene for silver fur (b). Which set of genotypes represents a cross that could produce offspring with silver fur from parents that both have brown fur?","BB BB","BB Bb","Bb Bb","Bb bb",2
"Male satin bowerbirds adorn structures that they build, called 'bowers,' with parrot feathers, flowers, and other bizarre ornaments in order to attract females. Females inspect the bowers and, if suitably impressed, allow males to mate with them. The evolution of this male behavior is due to","frequency-dependent selection.","artificial selection.","sexual selection.","natural selection.",2
"Which of the following best explains why a population is described as the evolutionary unit?","Genetic changes can only occur at the population level.","The gene pool in a population remains fixed over time.","Natural selection affects individuals, not populations.","Individuals cannot evolve, but populations can.",3
"If, on average, 46% of the loci in a species' gene pool are heterozygous, then the average homozygosity of the species should be","23%","46%","54%","92%",2
"Which of these is a statement that Darwin would have rejected?","Environmental change plays a role in evolution.","The smallest entity that can evolve is an individual organism.","Individuals can acquire new characteristics as they respond to new environments or situations.","Inherited variation in a population is a necessary precondition for natural selection to operate.",1
"Which of the following contributes the MOST to genetic variability in a population?","Sporulation","Binary fission","Vegetative propagation","Mutation",3
"Which of the following statements most detracts from the claim that the human appendix is a completely vestigial organ?","The appendix can be surgically removed with no immediate ill effects.","The appendix might have been larger in fossil hominids.","The appendix has a substantial amount of defensive lymphatic tissue.","Individuals with a larger-than-average appendix leave fewer offspring than those with a below-average-sized appendix.",2
"According to the heterotroph hypothesis, which event had to occur before oxygen filled the atmosphere?","Heterotrophs had to remove carbon dioxide from the air.","Autotrophs, which make their own food, had to evolve.","Heterotrophs had to evolve.","Autotrophs had to convert atmospheric nitrogen to nitrate.",1
"Two related species evolve in a way that makes them less similar.","Divergent evolution","Convergent evolution","Parallel evolution","Coevolution",0
"Which of the following statements best summarizes evolution as it is viewed today?","It is goal-directed.","It represents the result of selection for acquired characteristics.","It is synonymous with the process of gene flow.","It is the differential survival and reproduction of the most-fit phenotypes.",3
"Mosquitoes resistant to the pesticide DDT first appeared in India in 1959 within 15 years of widespread spraying of the insecticide. Which of the following statement best explains how the resistant mosquitoes arose?","Some mosquitoes experienced a mutation after being exposed to DDT that made them resistant to the insecticide. Then their population expanded because these moquitoes had no competition.","Some mosquitoes were already resistant to DDT when DDT was first sprayed. Then their population expanded because all the susceptible mosquitoes had been exterminated.","DDT is generally a very effective insecticide. One can only conclude that it was manufactured improperly.","Although DDT is effective against a wide range of insects, it is not effective against mosquitoes.",1
"DNA sequences in many human genes are very similar to the sequences of corresponding genes in chimpanzees. The most likely explanation for this result is that","humans and chimpanzees share a relatively recent common ancestor.","humans evolved from chimpanzees.","chimpanzees evolved from humans.","convergent evolution led to the DNA similarities.",0
"Yeast cells carry out both aerobic and anaerobic respiration. A yeast cell that is fed on glucose is moved from an aerobic to an anaerobic environment. Which of the following statements is correct and gives the correct reason for it?","The cell dies because it cannot make ATP.","The cell would need to consume glucose at a much greater rate because aerobic respiration is much more efficient as compared with anaerobic respiration.","The cell would need to consume another food source other than glucose because it will not be able to make adequate ATP with only glucose.","The cell will begin to divide rapidly because larger cells require more oxygen and glucose than smaller ones.",1
"A researcher conducts a survey of a biome and finds 35 percent more species than she has found in any other biome. Which biome is she most likely to be in?","Tundra","Tiaga","Tropical rainforest","Temperate deciduous forest",2
"Which statement about variation is true?","All phenotypic variation is the result of genotypic variation.","All genetic variation produces phenotypic variation.","All nucleotide variability results in neutral variation.","All new alleles are the result of nucleotide variability.",3
"Which of the following best explains why people can digest starch but cannot digest cellulose even though both molecules are composed of glucose monomers?","The bonds linking the monomers of starch differ in shape from the bonds linking the monomers of cellulose.","Molecules of starch are much smaller than molecules of cellulose.","Starch is an intracellular molecule, while cellulose is an extracellular molecule.","Starch is hydrated by water, but cellulose is not.",0
"In humans, fertilization normally occurs in the","ovary","fallopian tube","uterus","placenta",1
"Which of the following is a biotic factor that could affect the growth rate of a population?","Volcanic eruption","Glacier melting","Destruction of the ozone layer","Sudden reduction in the animal food resource",2
"As a young biologist, Charles Darwin had expected the living plants of temperate South America would resemble those of temperate Europe, but he was surprised to find that they more closely resembled the plants of tropical South America. The biological explanation for this observation is most properly associated with the field of","meteorology.","embryology.","vertebrate anatomy.","biogeography.",3
"It has been observed that organisms on islands are different from, but closely related to, similar forms found on the nearest continent. This is taken as evidence that","0","common environments are inhabited by the same organisms.","the islands were originally part of the continent.","the island forms and mainland forms are converging.",0
"The Krebs cycle in humans occurs in the","mitochondrial matrix","inner mitochondrial membrane","outer mitochondrial membrane","intermembrane space",0
"Ichthyosaurs were aquatic dinosaurs. Fossils show us that they had dorsal fins and tails, as do fish, even though their closest relatives were terrestrial reptiles that had neither dorsal fins nor aquatic tails. The dorsal fins and tails of ichthyosaurs and fish are","homologous.","examples of convergent evolution.","adaptations to a common environment.","B and C only",3
"During which phase of the cell cycle does the quantity of DNA in a eukaryotic cell typically double?","G_1","G_2","M","S",3
"Two trees of the same species growing close together will use the same resources, such as light, water, and nutrients. If any of these resources becomes limiting, then each tree will receive less of it than if the trees were growing farther apart. This scenario is an example of which of the following?","Parasitism","Commensalism","Natural selection","Intraspecific competition",3
"Short sequence by promoter that assists transcription by interacting with regulatory proteins.","Enhancer","Repressor","Operator","Promoter",2
"Catastrophism, meaning the regular occurrence of geological or meteorological disturbances (catastrophes), was Cuvier's attempt to explain the existence of","evolution.","the fossil record.","uniformitarianism.","the origin of new species.",1
"Hydrangea flowers have one gene for flower color. Plants of the same genetic variety have flowers that range in color from blue to pink with the color varying due to the type of soil in which they are grown. Which of the following statement best explains this phenomenon?","The alleles for flower color show incomplete dominance where neither trait is dominant; expression of the genes shows a blending of traits.","The alleles for flower color are codominant; both traits show depending on the environment.","In this case, the environment alters the expression of a trait.","The genes for flower color show polygenic inheritance.",2
"When imbalances occur in the sex ratio of sexual species that have two sexes (i.e., other than a 50:50 ratio), the members of the minority sex often receive a greater proportion of care and resources from parents than do the offspring of the majority sex. This is most clearly an example of","sexual selection.","disruptive selection.","balancing selection.","frequency-dependent selection.",3
"Although mutations occur at a regular and predictable rate, which of the following statements is the LEAST likely reason the frequency of mutation appears to be low?","Some mutations produce alleles that are recessive and may not be expressed.","Some undesirable phenotypic traits may be prevented from reproducing.","Some mutations cause such drastic phenotypic changes that they are removed from the gene pool.","The predictable rate of mutation results in ongoing variability in a gene pool.",3
"Crossover would most likely occur in which situation?","Two genes (1 and 2) are located right next to each other on chromosome A.","Gene 1 is located on chromosome A, and gene 2 is on chromosome B.","Genes 1 and 2 are located near each other on the X chromosome.","Gene 1 is located on chromosome A; gene 2 is located far away but on the same chromosome.",3
"Which aspects of cell structure best reveals the unity of all life?","All cells are surrounded by a plasma membrane.","All cells have at least one nucleus.","All cells carry out cellular respiration in mitochondria.","The surface-to-volume ratio of all cells is the same.",0
"This biome contains plants whose roots cannot go deep due to the presence of a permafrost.","Desert","Tundra","Taiga","Deciduous forests",2
"This biome contains trees that drop their leaves during the winter months.","Desert","Tundra","Taiga","Deciduous forests",3
"A change in a neuron membrane potential from +50 millivolts to -70 millivolts is considered","depolarization","repolarization","hyperpolarization","an action potential",1
"All of the following play a role in morphogenesis EXCEPT","apoptosis","homeotic genes","operons","inductive effects",2
"Most animal cells, regardless of species, are relatively small and about the same size. Relative to larger cells, why is this?","Smaller cells avoid excessive osmosis and subsequent lysis.","Smaller cells have a smaller surface-to-volume ratio.","Smaller cells have a larger surface-to-volume ratio.","Smaller cells fit together more tightly.",2
"Which of the following is (are) required when performing a polymerase chain reaction (P C R) on a DNA sample?","Reverse transcriptase","A vacuum chamber","Primers complementary to certain portions of the DNA","DNA ligase",2
"Each of the following has a better chance of influencing gene frequencies in small populations than in large populations, but which one most consistently requires a small population as a precondition for its occurrence?","Mutation","Non-random mating","Genetic drift","Natural selection",2
"No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is","new mutations that occurred in the preceding generation.","the reshuffling of alleles in sexual reproduction.","genetic drift due to the small size of the population.","geographic variation within the population.",1
"Two genes (B and E) determine coat color in Labrador retrievers. Alleles B and b code for how much melanin is present. The dominant allele B codes for black fur, the recessive allele b codes for brown hair. A second gene consisting of two alleles, E and e, codes for the deposition of pigment in the hair. In this case, the alleles for pigment deposition (E or e) are said to be epistatic to the gene that codes for black or brown pigment. If the dominant allele (E) is not present, regardless of the genotype at the black/brown locus, the animal's fur will be yellow.","BBEe will be brown.","BbEe will be brown.","Bbee will be brown.","BBee will be yellow.",3
"Which of the following statements is NOT correct about ancient Earth?","Earth was formed about 4? billion years ago.","Amino acid synthesis could have been stimulated by volcanic eruption.","The first cells formed about 3? billion years ago, according to the fossil record.","The presence of free oxygen facilitated the rapid formation of organic molecules.",3
"In modern terminology, diversity is understood to be a result of genetic variation. Sources of variation for evolution include all of the following except","mistakes in translation of structural genes.","mistakes in DNA replication.","translocations and mistakes in meiosis.","recombination at fertilization.",0
"DDT was once considered a 'silver bullet' that would permanently eradicate insect pests. Today, instead, DDT is largely useless against many insects. Which of these would have been required for this pest eradication effort to be successful in the long run?","Larger doses of DDT should have been applied.","All habitats should have received applications of DDT at about the same time.","The frequency of DDT application should have been higher.","None of the individual insects should have possessed genomes that made them resistant to DDT.",3
"Within a few weeks of treatment with the drug 3TC, a patient's HIV population consists entirely of 3TC-resistant viruses. How can this result best be explained?","HIV can change its surface proteins and resist vaccines.","The patient must have become reinfected with 3TC-resistant viruses.","HIV began making drug-resistant versions of reverse transcriptase in response to the drug.","A few drug-resistant viruses were present at the start of treatment, and natural selection increased their frequency.",3
"The higher the proportion of loci that are 'fixed' in a population, the lower is that population's","nucleotide variability.","genetic polyploidy.","average heterozygosity.","A and C only",3
"The resting membrane potential depends on which of the following? I. Active transport II. Selective permeability III. Differential distribution of ions across the axonal membrane","III only","I and II only","II and III only","I, II, and III",3
"Which of the following statements about the light-dependent reactions of photosynthesis is correct?","They provide the carbon that becomes incorporated into sugar.","They produce PGA, which is converted to glucose by carbon fixation in the light-independent reactions.","Water is split apart, providing hydrogen ions and electrons to NADP for temporary storage.","They occur in the stroma of chloroplasts.",2
"When we say that an individual organism has a greater fitness than another individual, we specifically mean that the organism","lives longer than others of its species.","competes for resources more successfully than others of its species.","mates more frequently than others of its species.","leaves more viable offspring than others of its species.",3
"Most Swiss starlings produce four to five eggs in each clutch. Those producing fewer or more than this have reduced fitness. Which of the following terms best describes this?","artificial selection","directional selection","stabilizing selection","disruptive selection",2
"Members of two different species possess a similar-looking structure that they use in a similar fashion to perform the same function. Which information would best help distinguish between an explanation based on homology versus one based on convergent evolution?","The two species live at great distance from each other.","The two species share many proteins in common, and the nucleotide sequences that code for these proteins are almost identical.","The sizes of the structures in adult members of both species are similar in size.","Both species are well adapted to their particular environments.",1
"When driving from east to west in the U.S. from a forest ecosystem to grasslands, trees gradually give way to grasses. Which of the following is the critical factor responsible for this shift?","Amount of sunlight","Availability of oxygen","Availability of water","Length of growing season",2
"Within a cell, the amount of protein synthesized using a given mRNA molecule depends in part on which of the following?","DNA methylation suppresses the expression of genes.","Transcription factors mediate the binding of RNA polymerase and the initiation of transcription, which will determine how much protein is manufactured.","The speed with which mRNA is degraded will determine how much protein is synthesized.","The location and number of ribosomes in a cell will solely determine how much protein is synthesized.",2
"All of the following are modes of asexual reproduction EXCEPT","sporulation","fission","budding","meiosis",3
"A rooster with gray feathers and a hen with the same phenotype produce 17 gray, 7 black, and 8 white chicks. What is the simplest explanation for the inheritance of these colors in chickens?","The trait for gray is epistatic over the trait for black.","The trait for gray is epistatic over the trait for white.","The traits for black and white color demonstrate incomplete dominance.","The traits for black and white color demonstrate codominance.",2
"Which of the following statements about cellular respiration is correct?","Most CO2 produced during cellular respiration is released from glycolysis.","Protons are pumped through ATP synthase by active transport.","The final electron acceptor of the electron transport chain is NAD+.","ATP is formed because an endergonic reaction is coupled with an exergonic reaction.",3
"Which of the following principles is NOT part of Darwin's theory of evolution by natural selection?","Evolution is a gradual process that occurs over a long period of time.","Every population has tremendous variation.","Mutations are the main source of all variation in a population.","Organisms will overpopulate area, giving rise to competition.",2
"In Darwin's thinking, the more closely related two different organisms are, the","more similar their habitats are.","less similar their DNA sequences are.","more recently they shared a common ancestor.","less likely they are to have the same genes in common.",2
"Which of the following is most likely to increase the rate of diffusion of an uncharged solute across the plasma membrane of a cell?","Decreasing the number of different solutes in the solution that bathes the cells","Increasing the concentration gradient of the solute across the membrane","Increasing the ratio of phospholipids to proteins in the membrane","Decreasing the membrane potential across the membrane",1
"In a certain pond, there are long-finned fish and short-finned fish. A horrific summer thunderstorm leads to the death of a disproportionate number of long-finned fish to the point where the relative frequency of the two forms has drastically shifted. This is an example of","gene flow.","natural selection.","genetic drift.","stabilizing selection.",2
"A form of species interaction in which one of the species benefits while the other is unaffected is called","parasitism.","mutualism.","commensalism.","symbiosis.",2
"Chemical substances released by organisms that elicit a physiological or behavioral response in other members of the same species are known as","auxins","hormones","pheromones","enzymes",2
"In reference to a segment of DNA, which of the following molecules contains the fewest number of nucleotides?","a single strand of the original DNA segment","a single strand of the original DNA segment after a point mutation","the primary RNA transcript (before splicing) from the original DNA","a single strand of complementary DNA (cDNA) made from the original DNA",3
"All viruses contain at least these two principal components:","DNA and proteins","nucleic acid and a capsid","DNA and cell membrane","RNA and cell wall",1
"Imagine an organism whose 2n = 96. Meiosis would leave this organism’s cells with how many chromosomes?","192","96","48","24",2
"Which of the following represents an idea that Darwin learned from the writings of Thomas Malthus?","All species are fixed in the form in which they are created.","Populations tend to increase at a faster rate than their food supply normally allows.","Earth changed over the years through a series of catastrophic upheavals.","The environment is responsible for natural selection.",1
"Which of the following would most likely describe the fate of a vesicle formed as a result of phagocytosis?","The vesicle merges with a mitochondrion.","The vesicle merges with a lysosome.","The vesicle is shuttled to the nucleus, and its contents become part of the nucleolus.","The vesicle releases its contents to the cytoplasm to be digested.",1
"A population undergoes a shift in which those who are really tall and those who are really short decrease in relative frequency compared to those of medium size, due to a change in the availability of resources. This is an example of","directional selection.","stabilizing selection.","disruptive selection.","sympatric speciation.",1
"Which of the following theories is based on the notion that mitochondria and chloroplasts evolved from prokaryotic cells?","Fluid mosaic model","Endosymbiotic model","Taxonomic model","Respiration feedback model",1
"The nucleotide sequence of a DNA molecule is 5′-C-A-T-3′. A mRNA molecule with a complementary codon is transcribed from the DNA in the process of protein synthesis a tRNA pairs with a mRNA codon. What is the nucleotide sequence of the tRNA anticodon?","5′-G-T-A-3′","5′-G-U-A-3′","5′-C-A-U-3′","5-′U-A-C-3′",2
"During drought years on the Galapagos, small, easily eaten seeds become rare, leaving mostly large, hard-cased seeds that only birds with large beaks can eat. If a drought persists for several years, what should one expect to result from natural selection?","Small birds gaining larger beaks by exercising their mouth parts.","Small birds mutating their beak genes with the result that later-generation offspring have larger beaks.","Small birds anticipating the long drought and eating more to gain weight and, consequently, growing larger beaks.","More small-beaked birds dying than larger-beaked birds. The offspring produced in subsequent generations have a higher percentage of birds with large beaks.",3
"Which of the following is NOT a characteristic of asexual reproduction in animals?","Daughter cells have the same number of chromosomes as the parent cell.","Daughter cells are identical to the parent cell.","The parent cell produces diploid cells.","The daughter cells fuse to form a zygote.",3
"A biologist studied a population of squirrels for 15 years. During that time, the population was never fewer than 30 squirrels and never more than 45. Her data showed that over half of the squirrels born did not survive to reproduce, because of competition for food and predation. In a single generation, 90% of the squirrels that were born lived to reproduce, and the population increased to 80. Which inference(s) about this population might be true?","The amount of available food may have increased.","The number of predators may have decreased.","The squirrels of subsequent generations should show greater levels of genetic variation than previous generations, because squirrels that would not have survived in the past will now survive.","A, B, and C",3
"Which group is composed entirely of individuals who maintained that species are fixed (i.e., unchanging)?","Aristotle, Cuvier, and Lamarck","Linnaeus, Cuvier, and Lamarck","Lyell, Linnaeus, and Lamarck","Aristotle, Linnaeus, and Cuvier",3
"Except for identical twins, no two people are genetically identical. Which of the following statements most accurately describes the main source of variation in humans?","The main source of variation in humans is genetic drift.","Changes in the environment cause rapid changes in different human populations.","Shuffling of alleles is responsible for the greatest variation in humans.","Mutations are responsible for the greatest changes in different human populations.",2
"An eager AP Biology student interested in studying osmosis and the movement of water in solutions took a dialysis bag containing a 0.5 M solution and placed it into a beaker containing a 0.6 M solution. If this bag were instead placed into a beaker of distilled water, what would be the expected result?","There will be a net flow of water out of the bag, causing it to decrease in size.","There will be a net flow of water into the bag, causing it to swell in size.","The bag will remain the exact same size because no water will move at all.","The solute will flow out of the dialysis bag into the beaker.",1
"Crossing-over during meiosis permits scientists to determine","the chance for variation in zygotes","the rate of mutations","the distance between genes on a chromosome","which traits are dominant or recessive",2
"An organism exposed to wild temperature fluctuations shows very little, if any, change in its metabolic rate. This organism is most probably a","ectotherm.","endotherm.","thermophyle.","ascospore.",1
"What was the prevailing notion prior to the time of Lyell and Darwin?","Earth is a few thousand years old, and populations are unchanging.","Earth is a few thousand years old, and populations gradually change.","Earth is millions of years old, and populations rapidly change.","Earth is millions of years old, and populations are unchanging.",0
"On Andros Islands in the Bahamas, populations of mosquito fish, Gambusia hubbsi, colonized a series of ponds. These ponds are no longer connected. However, the environments are very similar except that some ponds contain predatory fish, while others do not. In high predation ponds, selection has favored the evolution of a body shape that enables rapid bursts of speed. In low predation ponds, another body type is favored—one that is well-suited to swim for long periods of time.","Reproductive isolation caused geographic isolation.","Reproductive isolation was not complete.","Allopatric isolation brought about reproductive isolation.","Sympatric isolation brought about reproductive isolation.",2
"Which of the following statement is supported by the information given in the pedigree?","The P generation mother is X-X.","The P generation father is X-Y.","If parents 1 and 2 in row II have another child, the chance that the child would be afflicted with alkaptonuria is 25%.","The genotype of woman 1 is X-X.",2
"A proficient engineer can easily design skeletal structures that are more functional than those currently found in the forelimbs of such diverse mammals as horses, whales, and bats. That the actual forelimbs of these mammals do not seem to be optimally arranged is because","natural selection has not had sufficient time to create the optimal design in each case, but will do so given enough time.","natural selection operates in ways that are beyond the capability of the human mind to comprehend.","in many cases, phenotype is not merely determined by genotype, but by the environment as well.","natural selection is generally limited to modifying structures that were present in previous generations and in previous species.",3
"Which of the following pieces of evidence most strongly supports the common origin of all life on Earth?","All organisms require energy.","All organisms use essentially the same genetic code.","All organisms reproduce.","All organisms show heritable variation.",1
"Organisms in which of the following phyla have a true coelom?","Platyhelminthes","Porifera","Annelida","Nematoda",1
"A certain autosomal recessive trait is expressed in 1% of a population. Assuming that the population is in Hardy-Weinberg equilibrium, what percent of the population are carriers but do not express the trait?","10%","18%","27%","50%",1
"Which of the following properties is responsible for holding together the water molecules in a vertical column of water in xylem vessels of a plant?","the strong adhesion property of water","the strong cohesion of property of water","the high heat capacity of water","the strong cohesion property of cellulose in the xylem cell wall",1
"Which of the following statements is NOT correct about apoptosis?","Apoptosis, a special type of cell division, requires multiple cell signaling.","The fact that apoptosis is widespread across several kingdoms is evidence that it evolved early in the evolution of eukaryotes.","Apoptosis plays a crucial role in the development of fingers in embryonic development.","Apoptosis prevents an aging and dying cell from damaging neighboring cells.",0
"All of the following organs in the digestive system secrete digestive enzymes EXCEPT the","mouth","stomach","gall bladder","small intestine",2
"All of the following are stimulated by the sympathetic nervous system EXCEPT","dilation of the pupil of the eye","constriction of blood vessels","increased secretion of the sweat glands","increased peristalsis in the gastrointestinal tract",3
"In the inherited disorder called Pompe disease, glycogen breakdown in the cytosol occurs normally and blood glucose levels are normal, yet glycogen accumulates in lysosomes. This suggests a malfunction with","enzymes in the lysosomes","enzymes in the mitochondria","membrane transport during exocytosis","membrane transport during endocytosis",0
"A trend toward the decrease in the size of plants on the slopes of mountains as altitudes increase is an example of","a cline.","a bottleneck.","relative fitness.","genetic drift.",0
"Which of the following is an example of a cline?","The hybrid tomato plant is stronger and produces better fruit than the pure genotype.","There are two distinct varieties in one population of snail that inhabits an island in the Pacific Ocean.","Males of some species have long antlers to fight other males for females.","In one species of rabbit, the ones that evolved in the cold, snowy north are white, while the ones that evolved in the south are brown.",3
"A healthy man and woman are worried about having children because they are both carriers of sickle-cell disease. If the couple have a biological child, what is the chance that the child will inherit sickle-cell disease?","100%","75%","50%","25%",3
"Females with Turner's syndrome have a high incidence of hemophilia, a recessive, X-linked trait. Based on this information, it can be inferred that females with this condition","have an extra X chromosome","have an extra Y chromosome","lack an X chromosome","have red blood cells that clump",2
"Which of the following is the direct energy source that allows ATP synthase to produce ATP in mitochondria?","NADH diffusing from the mitochondrial intermembrane space to the matrix","The reduction of NAD+ during the conversion of pyruvate to acetyl-CoA","H+ ions flowing down a gradient across the mitochondrial inner membrane","The energy of electrons passing along the electron transport chain",2
"Which of the following cells is most closely associated with phagocytosis?","Neutrophils","Plasma cells","B cells","Memory cells",0
"Lampreys attach to the skin of lake trout and absorb nutrients from its body. This relationship is an example of","commensalism","parasitism","mutualism","gravitropism",1
